number,linux_name,semantic_area,dispatch_status,semantic_status,test_covered,dispatch_handlers,evidence,remaining_gap
204,sched_getaffinity,time-scheduler,native-ok,probed-compatible-core,yes,sys_sched_getaffinity,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
205,set_thread_area,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
206,io_setup,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
207,io_destroy,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
208,io_getevents,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
209,io_submit,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
210,io_cancel,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
211,get_thread_area,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
212,lookup_dcookie,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
213,epoll_create,other,native-ok,compatible-by-inspection,no,sys_epoll_create,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
214,epoll_ctl_old,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
215,epoll_wait_old,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
216,remap_file_pages,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
217,getdents64,other,struct-risk,probed-compatible-core,yes,sys_getdents,raw getdents64(217) layout test passes,large-directory and short-buffer behavior need broader coverage
218,set_tid_address,process-thread,native-ok,probed-compatible-core,yes,sys_set_tid_address,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
219,restart_syscall,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
220,semtimedop,ipc,native-ok,compatible-by-inspection,no,sys_semtimedop,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
221,fadvise64,other,native-ok,compatible-by-inspection,no,sys_fadvise64,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
222,timer_create,time-scheduler,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
223,timer_settime,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
224,timer_gettime,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
225,timer_getoverrun,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
226,timer_delete,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
227,clock_settime,time-scheduler,native-ok,probed-compatible-core,yes,sys_clock_settime,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
228,clock_gettime,time-scheduler,native-ok,probed-compatible-core,yes,sys_clock_gettime,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
229,clock_getres,time-scheduler,native-ok,probed-compatible-core,yes,sys_clock_getres,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
230,clock_nanosleep,time-scheduler,native-ok,probed-compatible-core,yes,sys_clock_nanosleep,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
231,exit_group,process-thread,native-ok,probed-compatible-core,yes,sys_exit_group,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
232,epoll_wait,event,struct-risk,semantic-partial,no,sys_epoll_wait,epoll wait handler is wired,full epoll readiness semantics are partial
233,epoll_ctl,event,struct-risk,semantic-partial,no,sys_epoll_ctl,epoll ctl handler is wired,full flag/event semantics are partial
234,tgkill,signal,native-ok,compatible-by-inspection,no,sys_tgkill,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
235,utimes,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
236,vserver,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
237,mbind,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
238,set_mempolicy,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
239,get_mempolicy,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
240,mq_open,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
241,mq_unlink,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
242,mq_timedsend,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
243,mq_timedreceive,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
244,mq_notify,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
245,mq_getsetattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
246,kexec_load,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
247,waitid,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
248,add_key,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
249,request_key,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
250,keyctl,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
251,ioprio_set,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
252,ioprio_get,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
253,inotify_init,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
254,inotify_add_watch,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
255,inotify_rm_watch,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
256,migrate_pages,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
257,openat,fd-vfs,struct-risk,semantic-partial,yes,sys_vfs_openat,"raw openat, read/write, and fstatat follow-up are covered","O_PATH, O_TMPFILE, O_DIRECTORY, and some creation/trailing-slash details remain partial"
258,mkdirat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_mkdirat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
259,mknodat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_mknodat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
260,fchownat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_fchownat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
261,futimesat,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
262,newfstatat,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_fstatat,raw newfstatat path and AT_EMPTY_PATH tests pass,AT_SYMLINK_NOFOLLOW symlink matrix still needs broader coverage
263,unlinkat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_unlinkat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
264,renameat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_renameat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
265,linkat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_linkat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
266,symlinkat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_symlinkat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
267,readlinkat,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_readlinkat,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
268,fchmodat,fd-vfs,native-ok,compatible-by-inspection,no,sys_vfs_fchmodat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
269,faccessat,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_faccessat,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
270,pselect6,other,struct-risk,semantic-partial,no,sys_pselect6,native number is wired,Linux pselect6 sigmask-argument struct matrix remains
271,ppoll,fd-vfs,struct-risk,semantic-partial,no,sys_vfs_ppoll,ppoll handler validates timespec and mask size,signal restore/race matrix remains
272,unshare,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
273,set_robust_list,other,native-ok,compatible-by-inspection,no,sys_set_robust_list,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
274,get_robust_list,other,native-ok,compatible-by-inspection,no,sys_get_robust_list,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
275,splice,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
276,tee,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
277,sync_file_range,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
278,vmsplice,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
279,move_pages,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
280,utimensat,other,native-ok,compatible-by-inspection,no,sys_utimensat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
281,epoll_pwait,event,struct-risk,semantic-partial,no,sys_epoll_pwait,epoll_pwait handler is wired,signal mask semantics are partial
282,signalfd,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
283,timerfd_create,event,native-ok,probed-compatible-core,yes,sys_timerfd_create,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
284,eventfd,other,unsupported-ok,unsupported-enosys,yes,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
285,fallocate,other,native-ok,compatible-by-inspection,no,sys_fallocate,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
286,timerfd_settime,event,struct-risk,semantic-partial,no,sys_timerfd_settime,timerfd settime handler is wired,absolute/cancel-on-set semantics are partial
287,timerfd_gettime,event,struct-risk,semantic-partial,no,sys_timerfd_gettime,timerfd gettime handler is wired,timer edge semantics are partial
288,accept4,socket-network,struct-risk,semantic-partial,no,sys_accept4,native accept4 number is wired,SOCK_NONBLOCK/SOCK_CLOEXEC matrix remains
289,signalfd4,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
290,eventfd2,event,native-ok,compatible-by-inspection,no,sys_eventfd2,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
291,epoll_create1,event,native-ok,probed-compatible-core,yes,sys_epoll_create1,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
292,dup3,fd-vfs,native-ok,probed-compatible-core,yes,sys_vfs_dup3,raw dup3(O_CLOEXEC) test passes,EINVAL oldfd==newfd edge remains
293,pipe2,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_pipe2,raw pipe2(O_CLOEXEC) test passes,O_NONBLOCK edge tests remain
294,inotify_init1,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
295,preadv,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_preadv,raw preadv regression passes,large iovec/overflow matrix remains
296,pwritev,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_pwritev,raw pwritev regression passes,large iovec/overflow matrix remains
297,rt_tgsigqueueinfo,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
298,perf_event_open,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
299,recvmmsg,socket-network,native-ok,semantic-partial,no,sys_recvmmsg;sys_ni_enosys,native recvmmsg number is wired,timeout and vector semantics need coverage
300,fanotify_init,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
301,fanotify_mark,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
302,prlimit64,process-thread,native-ok,probed-compatible-core,yes,sys_prlimit64,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
303,name_to_handle_at,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
304,open_by_handle_at,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
305,clock_adjtime,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
306,syncfs,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
307,sendmmsg,socket-network,struct-risk,semantic-partial,no,sys_sendmmsg,native sendmmsg number is wired,partial-send/error semantics need coverage
308,setns,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
309,getcpu,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
310,process_vm_readv,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
311,process_vm_writev,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
312,kcmp,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
313,finit_module,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
314,sched_setattr,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
315,sched_getattr,time-scheduler,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
316,renameat2,other,native-ok,compatible-by-inspection,no,sys_vfs_renameat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
317,seccomp,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
318,getrandom,other,native-ok,compatible-by-inspection,no,sys_getrandom,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
319,memfd_create,other,native-ok,compatible-by-inspection,no,sys_memfd_create,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
320,kexec_file_load,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
321,bpf,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
322,execveat,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
323,userfaultfd,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
324,membarrier,other,native-ok,probed-compatible-core,yes,sys_membarrier,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
325,mlock2,memory,native-ok,probed-compatible-core,yes,sys_mlock2,raw ABI regression covers this number,full Linux conformance matrix not exhaustively tested
326,copy_file_range,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
327,preadv2,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_preadv2,raw preadv2 regression passes,RWF_* semantics are partial
328,pwritev2,fd-vfs,struct-risk,probed-compatible-core,yes,sys_vfs_pwritev2,raw pwritev2 regression passes,RWF_* semantics are partial
329,pkey_mprotect,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
330,pkey_alloc,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
331,pkey_free,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
332,statx,fd-vfs,struct-risk,semantic-partial,yes,sys_statx,raw bad-pointer dispatch test passes and Linux-sized struct is copied,mask/sync flags and extended statx fields are partial
333,io_pgetevents,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
334,rseq,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
424,pidfd_send_signal,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
425,io_uring_setup,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
426,io_uring_enter,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
427,io_uring_register,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
428,open_tree,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
429,move_mount,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
430,fsopen,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
431,fsconfig,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
432,fsmount,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
433,fspick,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
434,pidfd_open,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
435,clone3,process-thread,struct-risk,semantic-partial,no,sys_clone3,Linux clone_args layout is copied and mapped to thread_clone,"size validation, pidfd, set_tid array, cgroup, and namespace semantics are partial"
436,close_range,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
437,openat2,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
438,pidfd_getfd,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
439,faccessat2,other,native-ok,compatible-by-inspection,no,sys_vfs_faccessat,simple native handler is wired to matching Linux number,no dedicated raw semantic regression yet
440,process_madvise,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
441,epoll_pwait2,event,struct-risk,semantic-partial,no,sys_epoll_pwait2,epoll_pwait2 handler is wired,timespec and signal mask semantics are partial
442,mount_setattr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
443,quotactl_fd,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
444,landlock_create_ruleset,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
445,landlock_add_rule,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
446,landlock_restrict_self,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
447,memfd_secret,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
448,process_mrelease,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
449,futex_waitv,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
450,set_mempolicy_home_node,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
451,cachestat,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
452,fchmodat2,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
453,map_shadow_stack,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
454,futex_wake,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
455,futex_wait,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
456,futex_requeue,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
457,statmount,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
458,listmount,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
459,lsm_get_self_attr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
460,lsm_set_self_attr,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
461,lsm_list_modules,other,unsupported-ok,unsupported-enosys,no,,unmapped default dispatch returns -ENOSYS,Linux programs requiring this syscall still need an implementation
